상호명,도로명주소,업종,전화번호,경도,위도
에비스,"경기 용인시 기흥구 동백3로11번길 12 103호 (중동,브릭스타워)",일반휴게음식 - 일반한식,031-827-7214,127.1531144,37.2701498
아모레카운셀러,경기 용인시 기흥구 동백중앙로 273 501호 (중동),보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
앤피엠(NPM),경기 용인시 기흥구 동백중앙로 177 617호 (중동),신변잡화 - 기타잡화,070-7709-0991,127.1537815,37.2703098
크리스피크림도넛용인동백점,"경기 용인시 기흥구 동백5로 21-11 116,117호(중동,동백훼미리프라자)",음료식품 - 제과점,031-281-2442,127.1526181,37.2774675
디자인다소,경기 용인시 기흥구 동백중앙로16번길 16-4 (중동),건축자재 - 인테리어전문,031-8060-7721,127.1651049,37.2562978
두끼즉석떡볶이뷔페 용인동백점,"경기 용인시 기흥구 동백중앙로 283 B동 206,207호(중동,골드프라자)",일반휴게음식 - 스넥,031-211-2726,127.1534754,37.2780227
입큰개구리노래연습장,경기 용인시 기흥구 동백5로 21-8 308 311 (중동),레저업소 - 노 래 방,031-281-1718,127.1528962,37.2770937
이지바이 신동백점,"경기 용인시 기흥구 동백죽전대로527번길 67 103호(중동,캐스에코2단지)",음료식품 - 제과점,031-275-9280,127.1477546,37.282424
헬로방방 동백점,"경기 용인시 기흥구 동백3로11번길 17 2층 (중동,원스톤프라자)",레저업소 - 기타레져업소,031-274-1237,127.1523772,37.2703761
시엔시아과학교습소,"경기 용인시 기흥구 동백3로11번길 3 501호 (중동,동백역타워)",학원 - 보습학원,031-284-2040,127.1532783,37.269351
주식회사 금하인더스트리,경기 용인시 기흥구 언동로 193-24 (중동),가구 - 일반가구,031-272-3370,127.1440271,37.2791546
이지바이 동백점,"경기 용인시 기흥구 동백3로11번길 8-1 101호(중동,제일프라자)",음료식품 - 제과점,031-287-9288,127.1538906,37.2697607
행복한시간,경기 용인시 기흥구 동백죽전대로527번길 98-41 1층 (중동),일반휴게음식 - 일반한식,,127.1417842,37.283975
S노래연습장,"경기 용인시 기흥구 동백중앙로 267 202호(중동,월드프라자)",레저업소 - 노 래 방,031-275-2802,127.1524225,37.2766652
소프트파워컴퓨터학원,"경기 용인시 기흥구 동백3로11번길 8 504호(중동,동백V-TOWN)",학원 - 컴퓨터학원,02-6340-5385,127.1535981,37.2696143
HP용인서비스센터,"경기 용인시 기흥구 동백중앙로16번길 16-4 1동 5층 51호 (중동,에이스동백타워)",사무통신 - 컴퓨터,031-8060-7400,127.1651049,37.2562978
베스트사무기기,경기 용인시 기흥구 어정로 139 A206호 (중동),사무통신 - 사무용 OA기기,031-286-1235,127.1452495,37.2758571
아띠음악학원,"경기 용인시 기흥구 동백중앙로 175 602호 (중동,우함빌딩)",학원 - 예?체능계학원,031-285-4029,127.1541845,37.2699794
길성이누룽지백숙용인점/(주)씨에이치길성,경기 용인시 기흥구 동백죽전대로 201-4 (중동),일반휴게음식 - 일반한식,031-283-3453,127.15918,37.2591151
퍼즐카페 에이블,경기 용인시 기흥구 동백5로 21-5 (중동),일반휴게음식 - 서양음식,031-285-0109,127.1520766,37.2768943
특실당구클럽,"경기 용인시 기흥구 어정로 139 A동 202,203호 (중동,라비스타)",레저업소 - 당 구 장,031-283-1939,127.1452495,37.2758571
(주)케이플러머스,"경기 용인시 기흥구 동백중앙로16번길 16-4 (중동,에이스동백타워312호)",건축자재 - 기타건축자재,031-893-1216,127.1651049,37.2562978
제이엔씨필라테스,경기 용인시 기흥구 동백중앙로 269 2층 206-208호 (중동),레저업소 - 헬스클럽,031-283-9001,127.1530911,37.2767024
씨유동백에이스점,"경기 용인시 기흥구 동백중앙로16번길 16-4 제지하1층제1-101호(중동,에이스동백타워)",유통업 영리 - 편 의 점,031-8060-7088,127.1651049,37.2562978
북문로떡볶이(동백점),경기 용인시 기흥구 동백4로 12 1층 101호 (중동),일반휴게음식 - 스넥,031-284-2487,127.1523128,37.2709916
제이엔키친(JN Kitchen),"경기 용인시 기흥구 동백중앙로 283 A동 209,210호(중동,골드프라자)",일반휴게음식 - 일반한식,031-287-9194,127.1534754,37.2780227
먹보한우동백점,경기 용인시 기흥구 언동로 211 외1필지 한우아름소식당 (중동),일반휴게음식 - 일반한식,031-334-9233,127.1438589,37.2771474
윤선생영어숲동백중동학원,"경기 용인시 기흥구 동백중앙로 175 603호 (중동,우함빌딩)",학원 - 보습학원,031-285-0567,127.1541845,37.2699794
참치집,"경기 용인시 기흥구 동백5로 21-8 1층 109호 (중동,지스타프라자)",일반휴게음식 - 일식?회집,031-281-5168,127.1528962,37.2770937
돼지의재발견 동백점,"경기 용인시 기흥구 동백중앙로16번길 16-4 2동 B106호 (중동,에이스동백타워)",일반휴게음식 - 일반한식,031-8060-8080,127.1651049,37.2562978
(주)플렉센스,"경기 용인시 기흥구 동백중앙로16번길 16-4 1동 13층 1301,1302,1303호 (중동,에이스동백타워)",서적문구 - 과학기자재,070-4725-4688,127.1651049,37.2562978
바른치킨 용인동백점,"경기 용인시 기흥구 동백중앙로 283 A동 108호 (중동,골드프라자)",일반휴게음식 - 스넥,031-275-8244,127.1534754,37.2780227
주식회사하이엘,"경기 용인시 기흥구 동백중앙로16번길 16-4 7층 716호 (중동,에이스동백타워)",건축자재 - 조명기구,031-8060-8161,127.1651049,37.2562978
네일공주,"경기 용인시 기흥구 동백중앙로 175,101호(중동,우함빌딩)",보건위생 - 피부미용실,031-8005-9885,127.1541845,37.2699794
건강누리,"경기 용인시 기흥구 동백죽전대로527번길 100-10, 1층(중동)",보건위생 - 의료용품,031-8005-5581,127.1432802,37.2815853
삼원케터링,"경기 용인시 기흥구 동백중앙로16번길 16-4 1B106호 (중동,에이스동백타워)",일반휴게음식 - 일반한식,031-8060-8880,127.1651049,37.2562978
(주)동백씨앤씨미술학원,경기 용인시 기흥구 동백중앙로 193 702호 (중동),회원제형태 - 학원,031-693-5615,127.1526419,37.2711192
디에스당구장(D.S.billiard club),경기 용인시 기흥구 동백중앙로 191 201 (중동),레저업소 - 당 구 장,031-275-7739,127.1529686,37.270893
별친구,"경기 용인시 기흥구 동백5로 41 3002동 B01호 (중동,성산마을신영지웰)",학원 - 기타 교육기관,02-3462-7381,127.1549005,37.2765438
용인대 효 태권도,"경기 용인시 기흥구 동백죽전대로 281 (중동,참솔마을월드메르디앙)",학원 - 예?체능계학원,031-693-3600,127.1541035,37.2663176
신전떡볶이,"경기 용인시 기흥구 동백중앙로 283 9동 1층 125호 (중동,골드프라자)",일반휴게음식 - 스넥,031-285-5560,127.1534754,37.2780227
주식회사생활과환경,"경기 용인시 기흥구 동백중앙로 199 301호 (중동,동백에이스프라자)",용역 서비스 - 종합용역,070-4252-8006,127.152086,37.2712993
고양이네 생선구이,"경기 용인시 기흥구 동백중앙로 199 101호 (중동,동백에이스프라자)",일반휴게음식 - 일반한식,070-8834-4633,127.152086,37.2712993
퍼스트수학전문학원,경기 용인시 기흥구 동백3로11번길 8 306호 동백브이타운 (중동),학원 - 보습학원,031-548-1012,127.1535981,37.2696143
(주)씨앤피월드,"경기 용인시 기흥구 동백중앙로 191,114호(중동,씨티프라자)",용역 서비스 - 사무서비스,031-8005-8028,127.1529686,37.270893
크로스핏짱,경기 용인시 기흥구 동백중앙로 273 6층 604호 동백훼미리프라자투 (중동),회원제형태 - 레져업소,070-4238-1081,127.1534814,37.2770259
에스클래스 수학전문학원,"경기 용인시 기흥구 동백3로11번길 3 702호 (중동,동백역타워)",학원 - 보습학원,031-287-2077,127.1532783,37.269351
유지은헤어,경기 용인시 기흥구 동백죽전대로527번길 100-1 102(중동),보건위생 - 미용원,031-8005-8505,127.1437972,37.2809156
미니부스편의점,경기 용인시 기흥구 동백중앙로16번길 16-25 801호 대우프론티어밸리 (중동),유통업 영리 - 편 의 점,031-8021-0828,127.1678891,37.2568842
사단법인 주니어사회지원단체(J.S.C),경기 용인시 기흥구 동백3로11번길 8 603호 동백브이타운 (중동),기타 - 비영리/대상,031-284-5779,127.1535981,37.2696143
노닥가비여우굴,경기 용인시 기흥구 동백죽전대로527번길 100-20 (중동),일반휴게음식 - 서양음식,031-263-3582,127.142964,37.2822278
용인다솜노인복지센터,"경기 용인시 기흥구 동백3로11번길 7 (중동,포스트타워7층701호)",기타의료기관 - 기타의료기관 및 기타,031-286-1117,127.1530891,37.2695275
에이텐(A10),"경기 용인시 기흥구 동백3로11번길 8, 107호,108호(중동,V프라자)",보건위생 - 미용원,031-8005-9797,127.1535981,37.2696143
동백빈대떡,"경기 용인시 기흥구 동백3로11번길 21, 102호(중동,더드림오피스텔)",일반휴게음식 - 일반한식,070-8116-4169,127.1520346,37.2705477
이니스프리 용인동백점,"경기 용인시 기흥구 동백중앙로 283 (중동,골드프라자1층제비109호)",보건위생 - 화장품,070-4202-4753,127.1534754,37.2780227
북웜인조이영수학원,경기 용인시 기흥구 동백3로11번길 8 (중동)901호,학원 - 보습학원,031-8025-7480,127.1535981,37.2696143
한성사무기,경기 용인시 기흥구 중동 848-2,사무통신 - 사무용 OA기기,031-289-6380,127.1517832,37.2715035
지신메디칼,경기 용인시 기흥구 동백4로 6 305 (중동),보건위생 - 미용재료,031-286-7746,127.1519217,37.2707723
보바스어린이의원,"경기 용인시 기흥구 동백중앙로 225-6 (중동,쥬네브스타월드3층301,302,304,5층501,지하1층B138~141))",의원 - 의원,031-785-0200,127.1503072,37.2740046
라파재활센터주식회사,"경기 용인시 기흥구 동백중앙로 221 301(중동,지젤레이크타워)",보건위생 - 기타대인서비스,031-285-4676,127.1505286,37.2731407
대한플라워케이크협회,"경기 용인시 기흥구 중동 동백죽전대로527번길 80,109-804",회원제형태 - 학원,0505-333-0515,127.1449619,37.2834995
공차용인동백점,"경기 용인시 기흥구 동백5로 21-11 121-122호 (중동,동백훼미리프라자)",일반휴게음식 - 스넥,031-286-6208,127.1526181,37.2774675
박영선헤어퍼밍,"경기 용인시 기흥구 동백죽전대로527번길 98-4 (중동,하루빌딩101호)",보건위생 - 미용원,031-286-3373,127.1441539,37.2812802
소니인터내셔날,경기 용인시 기흥구 언동로125번길 14 (중동),기타 - 기계공구,070-7755-3614,127.1411272,37.2847027
더블유티엠에프용인대케이엘체육관,경기 용인시 기흥구 동백6로 39 용인동백우체국 (중동),학원 - 예?체능계학원,031-296-4091,127.1556225,37.2773541
엠케이S&B,"경기 용인시 기흥구 동백3로11번길 8-1 203호 (중동,제일프라자)",보건위생 - 화장품,031-211-1255,127.1538906,37.2697607
엠아이짐,"경기 용인시 기흥구 동백3로11번길 11 (중동,한솔프라자201~203호)",레저업소 - 헬스클럽,031-282-4734,127.1527734,37.2698812
주식회사그룹예원,"경기 용인시 기흥구 동백3로11번길 21 404호(중동,더드림용인동백오피스텔)",건축자재 - 부동산 분양,031-8003-1263,127.1520346,37.2705477
제이티(JT),"경기 용인시 기흥구 동백5로 21-8 110호 (중동,중동,지스타프라자)",일반휴게음식 - 주점,031-274-3233,127.1528962,37.2770937
돌오리,경기 용인시 기흥구 동백중앙로 205 110호 101 미도타운 (중동),일반휴게음식 - 일반한식,070-8988-3110,127.1515034,37.2717286
와이비엠잉글루허버트학원,"경기 용인시 기흥구 동백죽전대로527번길 98-2 402호 (중동,현암프라자)",회원제형태 - 학원,031-282-1239,127.1442402,37.2810719
경원시큐리티,경기 용인시 기흥구 중동 676-1 라비스타비 206호,전기제품 - 기타전기제품,031-286-4546,127.1450878,37.2760445
용인에프티케이잉글리쉬어학원,경기 용인시 기흥구 어정로 139 C동 106호 107호 라비스타상가 (중동),회원제형태 - 학원,031-287-5464,127.1452495,37.2758571
교구농장,"경기 용인시 기흥구 동백중앙로 283 C동 903호 (중동,골드프라자)",회원제형태 - 서적,031-8021-1793,127.1534754,37.2780227
주식회사 서밋코퍼레이션,"경기 용인시 기흥구 동백중앙로 191 (중동,씨티프라자)8층비119호",용역 서비스 - 소프트웨어,031-712-7402,127.1529686,37.270893
아모레카운셀러,"경기 용인시 기흥구 동백중앙로 273 (중동,훼미리프라자2,501호)",보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
연세이튼치과의원,경기 용인시 기흥구 동백중앙로 265 402호 더엠빌딩 (중동),의원 - 치과의원,031-8005-5660,127.1526482,37.2763622
아모레카운셀러,경기 용인시 기흥구 동백중앙로 273 501호 훼미리프라자Ⅱ (중동),보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
주식회사 피코화연,"경기 용인시 기흥구 동백중앙로 283 C-906호 (중동,골드프라자)",보건위생 - 화장품,031-8005-5646,127.1534754,37.2780227
옥탑방오봉자싸롱,"경기 용인시 기흥구 동백3로11번길 18 102호 중동,로뎀빌딩 (중동)",일반휴게음식 - 주점,070-7747-7776,127.1526165,37.2706227
제이앤피(J&P)영어학원,"경기 용인시 기흥구 동백중앙로 283 8층 제비 811호 (중동,골드프라자)",회원제형태 - 학원,031-0000-0000,127.1534754,37.2780227
설빙용인동백점,경기 용인시 기흥구 동백5로 21-5 201호 202호 베스트빌오피스텔 (중동),일반휴게음식 - 스넥,031-275-2818,127.1520766,37.2768943
골뱅이집,경기 용인시 기흥구 동백5로 21-8 동백지스타 111호 (중동),일반휴게음식 - 주점,031-283-1595,127.1528962,37.2770937
인티고,경기 용인시 기흥구 동백중앙로16번길 16-25 1동 214호 대우프론티어밸리 (중동),전기제품 - 가전제품,070-4300-6058,127.1678891,37.2568842
커즈펫 동백점,경기 용인시 기흥구 동백중앙로 237 나동 105-107호 쥬네브스타월드 (중동),문화.취미 - 애완동물,070-8842-8474,127.150587,37.2745443
미모아피부과의원,"경기 용인시 기흥구 동백죽전대로 444 302호 (중동,쥬네브썬월드빌딩)",의원 - 의원,031-679-0086,127.1515224,37.27795
아모레카운셀러,"경기 용인시 기흥구 동백중앙로 273 2호 501 (중동,중동,훼미리프라자)",보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
윤선생우리집앞영어동백동일영어교습소,"경기 용인시 기흥구 동백중앙로 310 203호 상가 (중동,백현마을동일하이빌)",학원 - 외국어학원,031-284-2564,127.1564484,37.2791563
비어1589,경기 용인시 기흥구 언동로125번길 16-5 나동 지하층 1 일부 (중동),일반휴게음식 - 주점,031-286-1589,127.141881,37.2846683
리안헤어,"경기 용인시 기흥구 동백5로 21-5 104,105호 (중동,동백베스테빌)",보건위생 - 미용원,031-284-4056,127.1520766,37.2768943
올가스킨케어,"경기 용인시 기흥구 동백죽전대로527번길 100-20,1층 A-3호(중동,정희빌딩)",보건위생 - 화장품,031-287-7464,127.142964,37.2822278
벅스피아노음악교습소,"경기 용인시 기흥구 언동로217번길 31 107호 상가 (중동,서해그랑블2차아파트)",학원 - 예?체능계학원,031-282-2741,127.1477726,37.2779795
사회복지실천협동조합,"경기 용인시 기흥구 어정로 139, 비506호,라비스타상가 (중동)",신변잡화 - 기타잡화,031-283-2318,127.1452495,37.2758571
세븐일레븐동백동일하이빌점,"경기 용인시 기흥구 동백중앙로 310 상가-101(중동,백현마을동일하이빌)",유통업 영리 - 편 의 점,,127.1564484,37.2791563
아리따움(용인동백점),경기 용인시 기흥구 동백중앙로 269 105호 벤포스타 (중동),보건위생 - 화장품,031-285-8942,127.1530911,37.2767024
잉글리쉬스토리학원,"경기 용인시 기흥구 동백중앙로 191 203호 (중동,씨티프라자)",학원 - 보습학원,031-287-6002,127.1529686,37.270893
싱크와이즈,"경기 용인시 기흥구 동백4로 72 4002-1104호 (중동,어은목마을한라비발디)",서적문구 - 출판 및 인쇄물,070-4656-6876,127.1575715,37.2711638
에이플러스화원,경기 용인시 기흥구 중동 639-3번지,문화.취미 - 화원,031-282-4112,127.1428169,37.2799653
셰르파독학학원,경기 용인시 기흥구 동백중앙로 265 703호 더엠 (중동),회원제형태 - 학원,031-274-9600,127.1526482,37.2763622
타마시헤어넘버-1 동백점,"경기 용인시 기흥구 동백중앙로 269 106 (중동,106호~107호)",보건위생 - 미용원,031-286-2684,127.1530911,37.2767024
행당족발,"경기 용인시 기흥구 동백중앙로 273 동백훼미리프라자Ⅱ 111,112호 (중동)",일반휴게음식 - 일반한식,031-275-4180,127.1534814,37.2770259
영수화실미술교습소,경기 용인시 기흥구 동백죽전대로527번길 100-10 3층 (중동),학원 - 예?체능계학원,031-890-0676,127.1432802,37.2815853
굽네치킨,"경기 용인시 기흥구 동백3로11번길 33 106(중동,새롬프라자)",일반휴게음식 - 스넥,031-274-9492,127.1512271,37.2714699
동백로봇과학클럽학원,경기 용인시 기흥구 동백중앙로 175 601A호 우함빌딩 (중동),회원제형태 - 학원,031-284-6909,127.1541845,37.2699794
(재)한국지식문화재단,경기 용인시 기흥구 동백3로11번길 8 504호 동백V-TOWN (중동),회원제형태 - 사무서비스,031-214-7853,127.1535981,37.2696143
미래종합사무기,경기 용인시 기흥구 동백중앙로 203 204호 미주타운 (중동),사무통신 - 컴퓨터,031-284-0343,127.1517625,37.2715028
씨엠아이주식회사,"경기 용인시 기흥구 동백중앙로16번길 16-4, 1-103호(중동,에이스동백타워)",신변잡화 - 기타잡화,031-8060-7788,127.1651049,37.2562978
뮤엠영어어정영어교습소,경기 용인시 기흥구 언동로217번길 45-1 103호 용구상가 (중동),회원제형태 - 학원,031-285-0508,127.1487802,37.276917
아모레카운셀러,경기 용인시 기흥구 동백중앙로 273 훼미리프라자II (중동)501,보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
에프엠수학전문학원,"경기 용인시 기흥구 동백3로11번길 8-1 403(중동,제일프라자)",학원 - 보습학원,070-4075-0795,127.1538906,37.2697607
리아텍(Riatech),"경기 용인시 기흥구 동백4로 26 (중동,성산마을서해그랑블3105동103호)",서적문구 - 과학기자재,031-769-9013,127.1550626,37.2719166
(주)세인환경,"경기 용인시 기흥구 동백4로 6 (중동,7층)",용역 서비스 - 종합용역,031-285-7067,127.1519217,37.2707723
아이킨디아동발달연구소,"경기 용인시 기흥구 동백중앙로 221 305,306호(중동,지젤레이크타워)",보건위생 - 기타대인서비스,070-4148-1042,127.1505286,37.2731407
압구정노래방,"경기 용인시 기흥구 동백5로 17 B101B102호 (중동,동백레이크시티프라자)",레저업소 - 노 래 방,031-283-5963,127.1518355,37.2767209
효송,"경기 용인시 기흥구 동백중앙로 237 (중동,쥬네브스타월드나동지2층105호)",건강식품 - 기타건강식품,070-8830-7756,127.150587,37.2745443
(주)그린바이오,경기 용인시 기흥구 동백중앙로16번길 16-25 713 대우프론티어밸리1 (중동),용역 서비스 - 종합용역,031-335-4402,127.1678891,37.2568842
동백당구재료,"경기 용인시 기흥구 동백3로11번길 33 201호 (중동,새롬프라자)",레져용품 - 스포츠?레져용품,031-284-4939,127.1512271,37.2714699
오즈,"경기 용인시 기흥구 동백3로11번길 21,902호 (중동)",보건위생 - 화장품,031-281-0120,127.1520346,37.2705477
아모레카운셀러,"경기 용인시 기흥구 동백중앙로 273 501호 (중동,훼미리프라자)",보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
라시크,경기 용인시 기흥구 동백4로 6 105동 106호 (중동),보건위생 - 미용원,070-2459-5774,127.1519217,37.2707723
헤어디바인바이제니(Hair Divine by Jenny),경기 용인시 기흥구 동백죽전대로527번길 80 (중동),보건위생 - 미용원,070-7358-0902,127.1449619,37.2834995
테라스,"경기 용인시 기흥구 동백중앙로 283 비동122호(중동,골드프라자)",보건위생 - 화장품,070-8851-9690,127.1534754,37.2780227
바른자세체형교정,"경기 용인시 기흥구 동백중앙로 283 9층 제비908,909호 (중동,골드프라자)",회원제형태 - 레져업소,031-236-7969,127.1534754,37.2780227
막창도둑,경기 용인시 기흥구 동백3로11번길 8 110호 동맥브이타운 (중동),일반휴게음식 - 일반한식,031-274-9238,127.1535981,37.2696143
주식회사 포스피아,경기 용인시 기흥구 동백중앙로 237 229호 (중동),사무통신 - 통신기기,031-281-4375,127.150587,37.2745443
유니드미,"경기 용인시 기흥구 동백중앙로 199,105호 (중동,에이스프라자)",보건위생 - 미용원,,127.152086,37.2712993
아모레카운셀러,경기 용인시 기흥구 동백중앙로 273 501호 훼미리프라자ll (중동),보건위생 - 화장품,031-285-5338,127.1534814,37.2770259
리헤어,"경기 용인시 기흥구 동백중앙로 175, 1층 112호 (중동,우함빌딩)",보건위생 - 미용원,031-285-4700,127.1541845,37.2699794
해동검도,"경기 용인시 기흥구 동백5로 21-11 401호 (중동,동백훼미리프라자)",레저업소 - 기타레져업소,031-693-6567,127.1526181,37.2774675
제이제이클랜(JJ CLAN),경기 용인시 기흥구 중동 1113번지,레저업소 - 기타레져업소,031-283-0979,127.1422092,37.2841841
러블리헤어,"경기 용인시 기흥구 동백중앙로 283 B동 117호 (중동,골드프라자)",보건위생 - 미용원,031-287-5651,127.1534754,37.2780227
푸른드리,"경기 용인시 기흥구 동백중앙로 191 (중동,씨티프라자8층비123호)",신변잡화 - 기타잡화,031-8005-8801,127.1529686,37.270893
이디야,"경기 용인시 기흥구 동백중앙로 283 (중동,골드프라자B123,124호)",일반휴게음식 - 서양음식,031-8005-6402,127.1534754,37.2780227
동백마트,"경기 용인시 기흥구 동백2로 14 (중동,어은목마을코아루아파트상가동101~102호) 상가-101",유통업 영리 - 슈퍼마켓,031-286-8288,127.1553902,37.2674043
홍루이젠,"경기 용인시 기흥구 동백중앙로 283, B동 118호 (중동,골드프라자)",일반휴게음식 - 서양음식,031-274-5713,127.1534754,37.2780227
동백우리요양병원,"경기 용인시 기흥구 동백중앙로 283 (중동,골드프라자)6층비동601~612호",병원 - 병원,031-275-7600,127.1534754,37.2780227
전주명가콩나물국밥,"경기 용인시 기흥구 동백5로 17 ,107(중동,동백레이크시티프라자 107호 108호)",일반휴게음식 - 일반한식,031-275-3802,127.1518355,37.2767209
명물곱창,"경기 용인시 기흥구 동백3로11번길 12, 110호 (중동,브릭스타워)",일반휴게음식 - 일반한식,031-286-3833,127.1531144,37.2701498
초당짬뽕,"경기 용인시 기흥구 동백중앙로 43,상가동 102호 (중동,초당마을주공아파트)",일반휴게음식 - 일반한식,031-289-5900,127.1627263,37.2604474
(주)에스피에스,경기 용인시 기흥구 중동 841 쥬네브스타월드상가 가동2층 202,주방용구 - 주방용구,031-679-0099,127.1505543,37.2745618
밥스바비,"경기 용인시 기흥구 동백중앙로 283, D동 1층 122호 (중동,골드프라자)",일반휴게음식 - 스넥,031-8006-2082,127.1534754,37.2780227
신타(CINTA),"경기 용인시 기흥구 동백중앙로16번길 16-4,1동 713호 (중동,에이스동백타워)",보건위생 - 화장품,031-339-8678,127.1651049,37.2562978
미술로생각하기중동학원,"경기 용인시 기흥구 동백중앙로 283 (중동,골드프라자) 8층비동809호",학원 - 예?체능계학원,031-8005-7999,127.1534754,37.2780227
주식회사오에스와이메드,"경기 용인시 기흥구 동백중앙로16번길 16-25, 515호 대우프론티어밸리I (중동)",보건위생 - 의료용품,031-8021-3773,127.1678891,37.2568842
키즈랩창의교육,"경기 용인시 기흥구 동백3로11번길 12 140(중동,브릭스타워)",회원제형태 - 학원,031-287-9101,127.1531144,37.2701498
곰아저씨철물,"경기 용인시 기흥구 동백중앙로 237, 나동 103호 중동,쥬네브스타월드 (중동)",건축자재 - 목재?석재?철물,031-679-0998,127.150587,37.2745443
잠언의료기,"경기 용인시 기흥구 동백5로 17, 201호 (중동,동백레이크시티프라자)",보건위생 - 의료용품,031-671-7600,127.1518355,37.2767209
김앤진치과의원,경기 용인시 기흥구 어정로 139 (중동) 라비스타상가A303-304호,의원 - 치과의원,031-282-3873,127.1452495,37.2758571
추오정남원추어탕,경기 용인시 기흥구 동백중앙로 61-11 (중동),일반휴게음식 - 일반한식,031-281-0990,127.1609287,37.2609106
호연세무회계,"경기 용인시 기흥구 동백중앙로16번길 16-4 2동 B103호 (중동,에이스동백타워)",용역 서비스 - 법률회계서비스(개인),031-241-9160,127.1651049,37.2562978
동백와이즈만영재학원,"경기 용인시 기흥구 동백중앙로 193,중동동 8층 801호,802,803,804(중동,동창프라자)",학원 - 보습학원,031-639-7739,127.1526419,37.2711192
디에스테크,경기 용인시 기흥구 동백중앙로 175 (중동),사무통신 - 컴퓨터,031-713-9153,127.1541845,37.2699794
헤어스케치,"경기 용인시 기흥구 동백5로 41, 203호 (중동,성산마을신영지웰)",보건위생 - 미용원,031-285-7055,127.1549005,37.2765438
아이지에이마트 동백삼성점,"경기 용인시 기흥구 동백중앙로 213, 113호 (중동,삼성타워)",유통업 영리 - 편 의 점,031-768-0708,127.1510097,37.2722272
한샘코스메틱,"경기 용인시 기흥구 동백중앙로 283, B-107호 (중동,골드프라자)",보건위생 - 화장품,031-285-7731,127.1534754,37.2780227
민이네시골밥상,"경기 용인시 기흥구 동백5로 17, 1층 105 (중동,동백레이크시티프라자)",일반휴게음식 - 일반한식,031-283-4646,127.1518355,37.2767209
아모레카운셀러,"경기 용인시 기흥구 동백5로 21-11, 610호 (중동,동백훼미리프라자)",보건위생 - 화장품,031-285-5338,127.1526181,37.2774675
아모레카운셀러,경기 용인시 기흥구 중동 830-2번지 훼미리프라자 2건물 5층 아모레,보건위생 - 화장품,031-285-5338,127.1533791,37.2770306
동백동일하이빌아파트입주자대표회의,"경기 용인시 기흥구 동백중앙로 312, (중동,백현마을동일하이빌)",용역 서비스 - 부동산 중개?임대,031-693-4012,127.1575365,37.278876
쑥쑥리더스잉글리쉬리딩영어교습소,"경기 용인시 기흥구 동백2로 39, 상가-106 (중동,어은목마을대원칸타빌)",회원제형태 - 학원,031-281-0506,127.1574496,37.2689206
탑성공학원,"경기 용인시 기흥구 동백4로 7, 201호 (중동,MD타운)",학원 - 보습학원,031-286-3786,127.1516944,37.2710136
헤어스토리,"경기 용인시 기흥구 동백3로11번길 3 ,109 (중동,동백역타워)",보건위생 - 미용원,031-8005-7667,127.1532783,37.269351
더(The)한점,"경기 용인시 기흥구 동백5로 17 (중동,동백레이크시티프라자203~205호)",일반휴게음식 - 일반한식,031-287-0862,127.1518355,37.2767209
삼성키즈소아청소년과의원,"경기 용인시 기흥구 동백죽전대로527번길 98-2, 3층 301호 (중동)",의원 - 의원,031-693-9811,127.1442402,37.2810719
뽕뜨락동백1호점,"경기 용인시 기흥구 동백중앙로 193, 107호 (중동,동창프라자)",일반휴게음식 - 일반한식,031-281-1082,127.1526419,37.2711192
B#HAIR,"경기 용인시 기흥구 동백죽전대로 281 (중동,참솔마을월드메르디앙)상가동202호",보건위생 - 미용원,031-693-3231,127.1541035,37.2663176
동백탑치과의원,"경기 용인시 기흥구 동백죽전대로 444 (중동,쥬네브썬월드403호,404호)",의원 - 치과의원,031-679-0200,127.1515224,37.27795
자기와,"경기 용인시 기흥구 동백죽전대로 283 (중동,참솔마을월드메르디앙)104-1603",회원제형태 - 기타3,031-275-2262,127.1533786,37.2650881
재원 에이전시,"경기 용인시 기흥구 동백중앙로 199, 507-2호 (중동,동백에이스프라자)",서적문구 - 출판 및 인쇄물,070-7740-4620,127.152086,37.2712993
동백숲한의원,"경기 용인시 기흥구 동백죽전대로527번길 98-2, 302호 (중동)",의원 - 한의원,031-8005-8275,127.1442402,37.2810719
자연치과의원,"경기 용인시 기흥구 동백죽전대로527번길 98-2 (중동,3층303호)",의원 - 치과의원,031-275-2275,127.1442402,37.2810719
신풍닭발,"경기 용인시 기흥구 동백5로 21-11 (중동,동백훼미리프라자)1층 123 외2필지",일반휴게음식 - 일반한식,031-275-0825,127.1526181,37.2774675
주식회사프라임엘,"경기 용인시 기흥구 동백중앙로16번길 16-4,2동 5층 502호 (중동,에이스동백타워)",건축자재 - 조명기구,031-897-9515,127.1651049,37.2562978
아웃도어랩,"경기 용인시 기흥구 동백중앙로 225 -6(중동,쥬네브스타월드b126)",음료식품 - 기타음료식품,070-4410-6644,127.1503072,37.2740046
